Nome;Concentração;Forma Farmacêutica;Componente;Postos de Distribuição;Status
anlodipino;5 mg;Comprimido;Básico;• FARMÁCIA DISTRITAL ESTAÇÃO DOS VENTOS • FARMÁCIA DISTRITAL FLORIANO ROCHA • FARMÁCIA DISTRITAL KENNEDY • FARMÁCIA DISTRITAL LESTE - UNIDADE DE SAÚDE WILSON PAULO NOAL • FARMÁCIA DISTRITAL OESTE - POLICLÍNICA RUBEN NOAL • FARMÁCIA DISTRITAL SÃO FRANCISCO • FARMÁCIA MUNICIPAL CENTRAL;Disponível na Farmácia Popular
azitromicina;40 mg/mL;Pó para suspensão oral;Básico e Estratégico;• FARMÁCIA DISTRITAL ESTAÇÃO DOS VENTOS • FARMÁCIA DISTRITAL FLORIANO ROCHA • FARMÁCIA DISTRITAL KENNEDY • FARMÁCIA DISTRITAL LESTE - UNIDADE DE SAÚDE WILSON PAULO NOAL • FARMÁCIA DISTRITAL OESTE - POLICLÍNICA RUBEN NOAL • FARMÁCIA DISTRITAL SÃO FRANCISCO • FARMÁCIA MUNICIPAL CENTRAL;Disponível
azitromicina;500 mg;Comprimido;Básico e Estratégico;• FARMÁCIA DISTRITAL ESTAÇÃO DOS VENTOS • FARMÁCIA DISTRITAL FLORIANO ROCHA • FARMÁCIA DISTRITAL KENNEDY • FARMÁCIA DISTRITAL LESTE - UNIDADE DE SAÚDE WILSON PAULO NOAL • FARMÁCIA DISTRITAL OESTE - POLICLÍNICA RUBEN NOAL • FARMÁCIA DISTRITAL SÃO FRANCISCO • FARMÁCIA MUNICIPAL CENTRAL;Disponível
carbamazepina;20 mg/mL;Suspensão oral;Básico;• FARMÁCIA DISTRITAL ESTAÇÃO DOS VENTOS • FARMÁCIA DISTRITAL FLORIANO ROCHA • FARMÁCIA DISTRITAL KENNEDY • FARMÁCIA DISTRITAL LESTE - UNIDADE DE SAÚDE WILSON PAULO NOAL • FARMÁCIA DISTRITAL OESTE - POLICLÍNICA RUBEN NOAL • FARMÁCIA DISTRITAL SÃO FRANCISCO • FARMÁCIA MUNICIPAL CENTRAL;Disponível
carbamazepina;200 mg;Comprimido;Básico;• FARMÁCIA DISTRITAL ESTAÇÃO DOS VENTOS • FARMÁCIA DISTRITAL FLORIANO ROCHA • FARMÁCIA DISTRITAL KENNEDY • FARMÁCIA DISTRITAL LESTE - UNIDADE DE SAÚDE WILSON PAULO NOAL • FARMÁCIA DISTRITAL OESTE - POLICLÍNICA RUBEN NOAL • FARMÁCIA DISTRITAL SÃO FRANCISCO • FARMÁCIA MUNICIPAL CENTRAL;Disponível
carbonato de cálcio;1.250 mg (500 mg de cálcio);Comprimido;Básico;• FARMÁCIA DISTRITAL ESTAÇÃO DOS VENTOS • FARMÁCIA DISTRITAL FLORIANO ROCHA • FARMÁCIA DISTRITAL KENNEDY • FARMÁCIA DISTRITAL LESTE - UNIDADE DE SAÚDE WILSON PAULO NOAL • FARMÁCIA DISTRITAL OESTE - POLICLÍNICA RUBEN NOAL • FARMÁCIA DISTRITAL SÃO FRANCISCO • FARMÁCIA MUNICIPAL CENTRAL;Disponível
carbonato de lítio;300 mg;Comprimido;Básico;• FARMÁCIA DISTRITAL ESTAÇÃO DOS VENTOS • FARMÁCIA DISTRITAL FLORIANO ROCHA • FARMÁCIA DISTRITAL KENNEDY • FARMÁCIA DISTRITAL LESTE - UNIDADE DE SAÚDE WILSON PAULO NOAL • FARMÁCIA DISTRITAL OESTE - POLICLÍNICA RUBEN NOAL • FARMÁCIA DISTRITAL SÃO FRANCISCO • FARMÁCIA MUNICIPAL CENTRAL;Disponível
carvedilol;12,5 mg;Comprimido;Básico;• FARMÁCIA DISTRITAL ESTAÇÃO DOS VENTOS • FARMÁCIA DISTRITAL FLORIANO ROCHA • FARMÁCIA DISTRITAL KENNEDY • FARMÁCIA DISTRITAL LESTE - UNIDADE DE SAÚDE WILSON PAULO NOAL • FARMÁCIA DISTRITAL OESTE - POLICLÍNICA RUBEN NOAL • FARMÁCIA DISTRITAL SÃO FRANCISCO • FARMÁCIA MUNICIPAL CENTRAL;Disponível
cefalexina;50 mg/mL;Suspensão oral;Básico;• FARMÁCIA DISTRITAL ESTAÇÃO DOS VENTOS • FARMÁCIA DISTRITAL FLORIANO ROCHA • FARMÁCIA DISTRITAL KENNEDY • FARMÁCIA DISTRITAL LESTE - UNIDADE DE SAÚDE WILSON PAULO NOAL • FARMÁCIA DISTRITAL OESTE - POLICLÍNICA RUBEN NOAL • FARMÁCIA DISTRITAL SÃO FRANCISCO • FARMÁCIA MUNICIPAL CENTRAL;Disponível
cefalexina;500 mg;Comprimido;Básico;• FARMÁCIA DISTRITAL ESTAÇÃO DOS VENTOS • FARMÁCIA DISTRITAL FLORIANO ROCHA • FARMÁCIA DISTRITAL KENNEDY • FARMÁCIA DISTRITAL LESTE - UNIDADE DE SAÚDE WILSON PAULO NOAL • FARMÁCIA DISTRITAL OESTE - POLICLÍNICA RUBEN NOAL • FARMÁCIA DISTRITAL SÃO FRANCISCO • FARMÁCIA MUNICIPAL CENTRAL;Disponível
ciprofloxacino;500 mg;Comprimido;Básico;• FARMÁCIA DISTRITAL ESTAÇÃO DOS VENTOS • FARMÁCIA DISTRITAL FLORIANO ROCHA • FARMÁCIA DISTRITAL KENNEDY • FARMÁCIA DISTRITAL LESTE - UNIDADE DE SAÚDE WILSON PAULO NOAL • FARMÁCIA DISTRITAL OESTE - POLICLÍNICA RUBEN NOAL • FARMÁCIA DISTRITAL SÃO FRANCISCO • FARMÁCIA MUNICIPAL CENTRAL;Disponível
clonazepam;0,5 mg;Comprimido;Básico;• FARMÁCIA DISTRITAL ESTAÇÃO DOS VENTOS • FARMÁCIA DISTRITAL FLORIANO ROCHA • FARMÁCIA DISTRITAL KENNEDY • FARMÁCIA DISTRITAL LESTE - UNIDADE DE SAÚDE WILSON PAULO NOAL • FARMÁCIA DISTRITAL OESTE - POLICLÍNICA RUBEN NOAL • FARMÁCIA DISTRITAL SÃO FRANCISCO • FARMÁCIA MUNICIPAL CENTRAL;Disponível
clonazepam;2 mg;Comprimido;Básico;• FARMÁCIA DISTRITAL ESTAÇÃO DOS VENTOS • FARMÁCIA DISTRITAL FLORIANO ROCHA • FARMÁCIA DISTRITAL KENNEDY • FARMÁCIA DISTRITAL LESTE - UNIDADE DE SAÚDE WILSON PAULO NOAL • FARMÁCIA DISTRITAL OESTE - POLICLÍNICA RUBEN NOAL • FARMÁCIA DISTRITAL SÃO FRANCISCO • FARMÁCIA MUNICIPAL CENTRAL;Disponível
cloreto de sódio;0,9% (9 mg/mL);Solução nasal;Básico;• FARMÁCIA DISTRITAL ESTAÇÃO DOS VENTOS • FARMÁCIA DISTRITAL FLORIANO ROCHA • FARMÁCIA DISTRITAL KENNEDY • FARMÁCIA DISTRITAL LESTE - UNIDADE DE SAÚDE WILSON PAULO NOAL • FARMÁCIA DISTRITAL OESTE - POLICLÍNICA RUBEN NOAL • FARMÁCIA DISTRITAL SÃO FRANCISCO • FARMÁCIA MUNICIPAL CENTRAL;Disponível
cloridrato de amiodarona;200 mg;Comprimido;Básico;• FARMÁCIA DISTRITAL ESTAÇÃO DOS VENTOS • FARMÁCIA DISTRITAL FLORIANO ROCHA • FARMÁCIA DISTRITAL KENNEDY • FARMÁCIA DISTRITAL LESTE - UNIDADE DE SAÚDE WILSON PAULO NOAL • FARMÁCIA DISTRITAL OESTE - POLICLÍNICA RUBEN NOAL • FARMÁCIA DISTRITAL SÃO FRANCISCO • FARMÁCIA MUNICIPAL CENTRAL;Disponível
cloridrato de amitriptilina;25 mg;Comprimido;Básico;• FARMÁCIA DISTRITAL ESTAÇÃO DOS VENTOS • FARMÁCIA DISTRITAL FLORIANO ROCHA • FARMÁCIA DISTRITAL KENNEDY • FARMÁCIA DISTRITAL LESTE - UNIDADE DE SAÚDE WILSON PAULO NOAL • FARMÁCIA DISTRITAL OESTE - POLICLÍNICA RUBEN NOAL • FARMÁCIA DISTRITAL SÃO FRANCISCO • FARMÁCIA MUNICIPAL CENTRAL;Disponível
cloridrato de biperideno;2 mg;Comprimido;Básico;• FARMÁCIA DISTRITAL ESTAÇÃO DOS VENTOS • FARMÁCIA DISTRITAL FLORIANO ROCHA • FARMÁCIA DISTRITAL KENNEDY • FARMÁCIA DISTRITAL LESTE - UNIDADE DE SAÚDE WILSON PAULO NOAL • FARMÁCIA DISTRITAL OESTE - POLICLÍNICA RUBEN NOAL • FARMÁCIA DISTRITAL SÃO FRANCISCO • FARMÁCIA MUNICIPAL CENTRAL;Disponível
